state,longitude,mean,min,max
Alabama,-88.47,85.3744212962963,72.96527777777777,97.64583333333331
Alabama,-88.46,91.02339181286551,66.52777777777777,113.60416666666669
Alabama,-88.45,88.83843315972223,61.8125,121.65972222222223
Alabama,-88.44,89.13788580246914,59.71527777777778,142.08333333333334
Alabama,-88.43,85.92977053140095,51.13888888888889,132.93055555555554
Alabama,-88.42,82.51107930449534,47.03472222222222,141.15277777777774
Alabama,-88.41,84.43525179856115,43.680555555555564,146.17361111111111
Alabama,-88.4,85.63284202569919,39.77777777777778,156.98611111111111
Alabama,-88.39,84.33831908831908,35.805555555555564,146.36805555555554
Alabama,-88.38,82.6955030487805,38.055555555555564,156.125
Alabama,-88.37,80.44868378552972,41.020833333333336,161.70138888888889
Alabama,-88.36,76.34703038674033,39.006944444444436,151.80555555555554
Alabama,-88.35,72.97902123327516,37.35416666666666,132.77083333333334
Alabama,-88.34,69.48642361111109,32.0,126.98611111111113
Alabama,-88.33,67.06143162393164,30.972222222222218,125.1875
Alabama,-88.32,67.45945859053498,29.66666666666667,125.22916666666669
Alabama,-88.31,64.86114211309524,30.35416666666667,114.47916666666669
Alabama,-88.3,63.940193965517246,26.64583333333333,124.92361111111113
Alabama,-88.29,65.20509259259259,26.527777777777782,134.95138888888889
Alabama,-88.28,65.65400985663082,22.20833333333333,127.99305555555556
Alabama,-88.27,67.24062364894077,23.930555555555557,135.67361111111111
Alabama,-88.26,67.09098532494758,22.29861111111111,125.34722222222223
Alabama,-88.25,66.85523504273505,23.618055555555557,123.52083333333331
Alabama,-88.24,67.32913206801106,19.541666666666668,121.13194444444444
Alabama,-88.23,67.61531622452904,21.159722222222218,124.96527777777777
Alabama,-88.22,68.70289548022599,22.125,137.32638888888889
Alabama,-88.21,68.92400202354672,19.805555555555557,137.52083333333334
Alabama,-88.2,70.03829492675956,19.993055555555557,149.68055555555554
Alabama,-88.19,71.79817843544478,15.284722222222221,177.78472222222226
Alabama,-88.18,74.1879208754209,13.861111111111109,186.99305555555557
Alabama,-88.17,75.2359681372549,18.52083333333333,184.42361111111111
Alabama,-88.16,78.01774912448266,20.222222222222218,185.90972222222226
Alabama,-88.15,81.13639353141444,21.180555555555557,191.80555555555557
Alabama,-88.14,84.5933620950651,16.96527777777778,209.65277777777774
Alabama,-88.13,86.12305555555555,19.118055555555557,208.90277777777774
Alabama,-88.12,87.46417174354514,17.375,207.92361111111111
Alabama,-88.11,88.83375959079285,18.88888888888889,216.36111111111111
Alabama,-88.1,89.73560510887773,15.513888888888891,221.21527777777774
Alabama,-88.09,91.15189236111112,12.534722222222221,230.36111111111111
Alabama,-88.08,92.21607638888891,12.305555555555555,232.65972222222226
Alabama,-88.07,93.06784722222223,15.638888888888891,224.27777777777774
Alabama,-88.06,94.94256944444444,15.194444444444445,223.93055555555557
Alabama,-88.05,96.25756944444444,15.027777777777779,227.27777777777774
Alabama,-88.04,97.45647569444445,14.291666666666664,236.91666666666663
Alabama,-88.03,97.1803125,14.006944444444445,226.77083333333331
Alabama,-88.02,95.86286458333332,6.763888888888888,229.34722222222226
Alabama,-88.01,96.69381944444444,6.895833333333332,235.0
Alabama,-88.0,97.17020833333332,7.791666666666668,242.32638888888889
Alabama,-87.99,96.59774305555555,7.3819444444444455,246.49305555555557
Alabama,-87.98,97.64463541666667,8.097222222222221,248.00694444444446
Alabama,-87.97,100.74289930555555,6.25,250.56944444444446
Alabama,-87.96,101.44621527777777,6.638888888888888,254.56944444444446
Alabama,-87.95,102.56399305555556,7.840277777777778,257.52777777777777
Alabama,-87.94,103.92079861111112,6.395833333333332,262.53472222222223
Alabama,-87.93,104.24090277777779,7.909722222222222,265.90972222222223
Alabama,-87.92,107.4503125,6.3819444444444455,279.34027777777777
Alabama,-87.91,108.75151041666668,6.5555555555555545,271.40972222222223
Alabama,-87.9,109.3322048611111,9.125,272.15972222222223
Alabama,-87.89,110.35680555555555,8.07638888888889,265.7916666666667
Alabama,-87.88,112.78838541666669,8.277777777777779,265.6388888888889
Alabama,-87.87,112.44336805555555,8.25,272.9166666666667
Alabama,-87.86,111.6640625,10.770833333333336,271.7986111111111
Alabama,-87.85,111.48967013888887,11.194444444444445,275.8888888888889
Alabama,-87.84,113.71399305555555,11.541666666666664,282.6944444444445
Alabama,-87.83,113.97020833333336,13.347222222222221,284.1666666666667
Alabama,-87.82,114.60378472222223,14.659722222222221,285.125
Alabama,-87.81,114.11421875,13.319444444444445,290.8819444444445
Alabama,-87.8,114.76064236111108,12.180555555555555,297.0486111111111
Alabama,-87.79,115.72154513888891,10.055555555555557,298.4166666666667
Alabama,-87.78,114.96272569444444,10.534722222222221,304.3958333333333
Alabama,-87.77,114.73385416666667,10.923611111111109,309.9791666666667
Alabama,-87.76,115.76170138888888,10.986111111111109,309.2986111111111
Alabama,-87.75,116.50859375,15.458333333333336,312.1666666666667
Alabama,-87.74,117.77875,15.854166666666664,314.7638888888889
Alabama,-87.73,118.15741319444444,16.541666666666668,316.8958333333333
Alabama,-87.72,118.58597222222221,15.625,319.34722222222223
Alabama,-87.71,118.4503125,14.993055555555555,314.6736111111111
Alabama,-87.7,118.53175347222222,16.104166666666668,315.6805555555556
Alabama,-87.69,118.09416666666668,18.20833333333333,317.5625
Alabama,-87.68,118.31918402777778,17.63888888888889,312.3888888888889
Alabama,-87.67,118.35482638888887,18.409722222222218,313.6944444444445
Alabama,-87.66,117.62125,18.11111111111111,319.27777777777777
Alabama,-87.65,117.79578125,16.819444444444443,313.625
Alabama,-87.64,118.56840277777779,17.243055555555557,309.34722222222223
